field_key,scope_class,knowledge_category,status,owner,in_node_entry_struct,node_entry_member,persisted,persistence_notes,exported_over_ble,ble_record_offset,ble_bytes,sent_on_air,packet_name_canon,on_air_contract_ref,wire_bytes_fixed,wire_optional,logical_type,units_scaling,min_value,max_value,bits_needed_min,tier,default_cadence,trigger_type,threshold_rule,staleness_ttl_hint,notes,producer_status,source
snrLast,Injected,RadioContext,Canon,ReceiverInjected,N,,N,TODO: add to NodeEntry/BLE if needed,N,,,N,,link_metrics_v0,,,numeric,dB,,,TODO,Derived/Injected,on RX,event-driven,,,Not in current BLE record.,Planned,Injected
batteryPercent,Operational,Telemetry/Health,Canon,NodeOwned,Y,battery_percent,Y,in NodeEntry,N,,,Y,Node_Operational,tail2_packet_encoding_v0 §3.2,1,OPT,u8,0-100%; 0xFF=not present,0,100,7,C Tail-2,on change + at forced Core,periodic+threshold,battery delta,,,Implemented,HW
sats,Operational,Position,Canon,NodeOwned,Y,sats,Y,in NodeEntry,N,,,Y,Node_Core_Tail,tail1_packet_encoding_v0 §3.2,1,OPT,u8,satellite count; 0=not present,0,255,8,B Tail-1,Every Tail-1,periodic,,,v0 canon. In v0.1 packed in pos_quality16; canonical field_key sats.,Implemented,HW
uptimeSec,Operational,Telemetry/Health,Canon,NodeOwned,Y,uptime_sec,Y,in NodeEntry,N,,,Y,Node_Operational,tail2_packet_encoding_v0 §3.2,4,OPT,u32,seconds; 0xFFFFFFFF=not present,0,4294967295,32,B Tail-1,on change + at forced Core,periodic+threshold,,,field_cadence: Tier B; packet is Node_Operational (0x04).,Implemented,HW
localAlias,User,LocalOnly,Canon,AppLocal,N,,Y,app local storage,N,,,N,,inventory,,,string,,,,,Derived/Injected,,,,,Local phone name; fallback when node_name (authoritative) empty. User-defined on phone; not over radio. Replaced by node-reported node_name when present (authority rule).,Implemented,Config
pos_age_s,Core,Position,CodeNow,NodeOwned,Y,pos_age_s,Y,BLE snapshot,Y,21,2,N,,Tail-1 pos quality; not in Core,,,u16,seconds,0,65535,16,B Tail-1,,,,,S03 minimal. Age of last known position sample (independent from presence). Domain; not in BeaconCore payload (position_quality_v0).,Implemented,HW
pos_valid,Core,Position,CodeNow,NodeOwned,Y,pos_valid,Y,BLE snapshot (flags bit1),Y,10,1,N,,,,,bool,flags bit 0x02; Core implies valid,,,1,A Core,,,,,Domain/BLE only; not on-air in BeaconCore (Core only when fix valid).,Implemented,HW
is_stale,Derived,Activity,CodeNow,Derived,N,,N,computed at export,Y,10,1,N,,presence_and_age_semantics_v0_1,,,bool,flags bit 0x04; last_seen_age_s > expected_interval_s + grace_s,,,1,Derived/Injected,,,,,S03 minimal. expected_interval_s = max_silence_10s * 10; grace_s hysteresis TBD. Self: TX heartbeat updates last_seen_ms so self does not appear stale (presence_and_age_semantics_v0_1).,Implemented,Derived
last_seen_age_s,Derived,Activity,CodeNow,Derived,N,,N,computed at export from last_seen_ms,Y,11,2,N,,,,,u16,(now_ms - last_seen_ms)/1000,,,,Derived/Injected,,,,,S03 minimal. floor((now_ms - last_seen_ms)/1000) at export; BLE convenience; derived from last_seen_ms. See presence_and_age_semantics_v0_1.,Implemented,Derived
in_use,Informative,LocalOnly,CodeNow,AppLocal,Y,in_use,N,internal slot only,N,,,N,,,,,bool,,,,,Derived/Injected,,,,,Internal; not in BLE.,Implemented,Derived
is_self,Informative,LocalOnly,CodeNow,AppLocal,Y,is_self,Y,BLE snapshot (flags bit0),Y,10,1,N,,,,,bool,flags bit 0x01,,,1,Derived/Injected,,,,,,Implemented,Config
last_applied_tail_ref_core_seq16,Informative,Activity,CodeNow,ReceiverInjected,Y,last_applied_tail_ref_core_seq16,N,,N,,,N,,tail1_packet_encoding_v0; at most one Tail per Core,,,u16,,,,,Derived/Injected,,,,,Variant 2: dedupe second Tail-1 for same ref_core_seq16.,Implemented,Derived
short_id,Informative,Identity,CodeNow,Derived,Y,short_id,Y,BLE snapshot,Y,8,2,N,,,,,u16,CRC16-CCITT over node_id LE,,,16,Derived/Injected,,,,,Display only; not protocol key. Reserved 0x0000/0xFFFF handled.,Implemented,Derived
short_id_collision,Informative,Identity,CodeNow,Derived,Y,short_id_collision,Y,BLE snapshot (flags bit3),Y,10,1,N,,,,,bool,flags bit 0x08,,,1,Derived/Injected,,,,,,Implemented,Derived
last_rx_rssi,Injected,RadioContext,CodeNow,ReceiverInjected,Y,last_rx_rssi,Y,BLE snapshot,Y,23,1,N,,link_metrics_v0,,,i8,dBm,,,8,Derived/Injected,on RX,event-driven,,,rssiLast; receiver-side only.,Implemented,Injected
last_seen_ms,Injected,Activity,CodeNow,ReceiverInjected,Y,last_seen_ms,Y,internal; BLE exports last_seen_age_s derived,N,,,N,,,,,u32,uptime ms,,,,Derived/Injected,on RX,event-driven,,,Exported as lastSeenAgeS (age_s) in BLE.,Implemented,Injected
networkName,User,Identity,Idea,NodeOwned,N,,N,,N,,,N,,index §4,,,string,,,,,,,,,,Out-of-scope S03; NOT sent in v0 beacon; future session-join.,Planned,Config
hops,Mesh_future,Routing/Mesh,Mesh_future,ReceiverInjected,N,,N,,N,,,N,,meshtastic-nodetable.md §3,,,u8,hops_away,,,,Derived/Injected,,,,,No mesh routing in Naviga v0.,Planned,Derived
last_direct_time,Mesh_future,RadioContext,Mesh_future,ReceiverInjected,N,,N,,N,,,N,,naviga_mesh_protocol_concept_v1_4.md,,,timestamp,,,,,Derived/Injected,,,,,Time of last direct RX from this node; mesh concept. Non-goal v0.,Planned,Injected
next_hop,Mesh_future,Routing/Mesh,Mesh_future,ReceiverInjected,N,,N,,N,,,N,,meshtastic-nodetable.md §3,,,u8,last byte of node num,,,,Derived/Injected,,,,,No mesh routing in Naviga v0.,Planned,Derived
pos_history,Mesh_future,Position,Mesh_future,NodeOwned,N,,N,,N,,,N,,naviga_mesh_protocol_concept_v1_4.md,,,array,short history of positions,,,,Derived/Injected,,,,,Optional pos_history_X; mesh concept. Non-goal v0.,Planned,HW
role_params,Mesh_future,Activity,Mesh_future,NodeOwned,N,,N,,N,,,N,,naviga_mesh_protocol_concept_v1_4.md,,,enum/params,role_pos_update_interval_X etc,,,,Derived/Injected,,,,,Role-based delivery params; mesh concept. Non-goal v0.,Planned,Config
rssi_direct,Mesh_future,RadioContext,Mesh_future,ReceiverInjected,N,,N,,N,,,N,,meshtastic research,,,numeric,,,,,Derived/Injected,,,,,Direct-link RSSI; Mesh_future. Non-goal v0.,Planned,Injected
snr_direct,Mesh_future,RadioContext,Mesh_future,ReceiverInjected,N,,N,,N,,,N,,meshtastic research,,,numeric,,,,,Derived/Injected,,,,,Direct-link SNR; Mesh_future. Non-goal v0.,Planned,Injected
is_grey,Derived,Activity,Superseded,Derived,N,,N,,Y,10,1,N,,,,,bool,same as is_stale (flags bit 0x04),,,1,Derived/Injected,,,,,Alias; superseded-by is_stale (presence_and_age_semantics_v0_1).,Implemented,Derived
posFlags,Operational,Position,Superseded,NodeOwned,Y,pos_flags,Y,in NodeEntry,N,,,Y,Node_Core_Tail,tail1_packet_encoding_v0 §3.2,1,OPT,u8,bit0=position valid; 1-7 reserved,0,255,8,B Tail-1,Every Tail-1,periodic,,,v0 canon. Superseded by pos_flags_small (v0.1 packed in pos_quality16).,Implemented,HW
pos_sats,Operational,Position,Superseded,NodeOwned,N,,N,,N,,,N,,packet_sets_v0_1,,,u8,alias for sats,,,,B Tail-1,,,,,Alias; superseded-by sats.,Planned,Derived
aliveStatus,Core,Activity,WIP,NodeOwned,N,,N,,N,,,N,Alive,alive_packet_encoding_v0 §3.2,1,OPT,u8,0x00=alive_no_fix,,,8,A Core,no-fix liveness,periodic,,,Not promoted to S03; unused/stubbed. Covered by minimal model (presence_and_age_semantics_v0_1).,Stubbed,HW
PositionQuality,Derived,Position,WIP,Derived,N,,N,,N,,,N,,position_quality_v0,,,derived,Core + Tail-1 posFlags/sats + age,,,,Derived/Injected,,,,,"Not promoted to S03; policy-only derived. Covered by minimal model (pos_age_s, posFlags/sats; presence_and_age_semantics_v0_1).",Planned,Derived
activityState,Derived,Activity,WIP,Derived,N,,N,,N,,,N,,activity_state_v0,,,enum,Unknown/Active/Stale/Lost,,,,Derived/Injected,derived on RX,,"T_active, T_stale params",,"Not promoted to S03; policy-only derived. Covered by minimal model (is_stale, last_seen_age_s; presence_and_age_semantics_v0_1).",Planned,Derived
role_id,Informative,Identity,WIP,NodeOwned,N,,N,,N,,,Y,Node_Informative,packet_sets_v0_1,,OPT,u8,role identifier,,,TODO,C Tail-2,periodic + changed-boost,periodic,,,v0.1 new; Informative. CONFLICT: hw/fw remain u16 in canon.,Planned,Config
battery16,Operational,Telemetry/Health,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,2,OPT,u16,pct7+charging1+eta10m8,,,16,C Tail-2,on change + min_interval,periodic+threshold,,,v0.1 packed container.,Planned,HW
battery_pct7,Operational,Telemetry/Health,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,,,u8,7 bits in battery16; 0-100,0,100,7,C Tail-2,,,,,Packed in battery16.,Planned,HW
channel_throttle_step_u4,Operational,RadioContext,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,,,u8,4 bits in radio8,,,4,C Tail-2,,,,,Packed in radio8.,Planned,Derived
charging1,Operational,Telemetry/Health,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,,,bool,1 bit in battery16,,,1,C Tail-2,,,,,Packed in battery16.,Planned,HW
eta10m8,Operational,Telemetry/Health,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,,,u8,"8 bits in battery16; minutes to empty, 0=N/A",,,8,C Tail-2,,,,,Packed in battery16.,Planned,Derived
fix_type,Operational,Position,WIP,NodeOwned,N,,N,,N,,,Y,Node_Core_Tail,packet_sets_v0_1,,,enum,bits in pos_quality16: no_fix/2d/3d/reserved,,,2,B Tail-1,,,,,Packed in pos_quality16.,Planned,HW
pos_accuracy_bucket,Operational,Position,WIP,NodeOwned,N,,N,,N,,,Y,Node_Core_Tail,packet_sets_v0_1,,,u8,bits in pos_quality16,,,3,B Tail-1,,,,,Packed in pos_quality16.,Planned,Derived
pos_flags_small,Operational,Position,WIP,NodeOwned,N,,N,,N,,,Y,Node_Core_Tail,packet_sets_v0_1,,,u8,bits in pos_quality16; supersedes posFlags in v0.1,,,5,B Tail-1,,,,,Mapping from v0 posFlags; packed in pos_quality16.,Planned,HW
pos_quality16,Operational,Position,WIP,NodeOwned,N,,N,,N,,,Y,Node_Core_Tail,packet_sets_v0_1,2,OPT,u16,packed: fix_type/sats/accuracy_bucket/pos_flags_small,,,16,B Tail-1,Every Tail-1,periodic,,,v0.1 container; replaces separate posFlags(1)+sats(1) in v0.,Planned,HW
radio8,Operational,RadioContext,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,1,OPT,u8,txPower4+throttle4,,,8,C Tail-2,,,,,v0.1 container.,Planned,HW
tx_power_step_u4,Operational,RadioContext,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,,,u8,4 bits in radio8,,,4,C Tail-2,,,,,Packed in radio8.,Planned,HW
uptime10m_u8,Operational,Telemetry/Health,WIP,NodeOwned,N,,N,,N,,,Y,Node_Operational,packet_sets_v0_1,1,OPT,u8,uptime in 10-minute units; masked-for-compare,,,8,C Tail-2,on change + min_interval,periodic+threshold,,,v0.1; eligibility snapshot mask.,Planned,HW
node_name,User,Identity,WIP,NodeOwned,N,,Y,self-only in NVS (S03); not on-air in S03,Y,,,N,,identity_naming_persistence_eviction_v0_1,,,string,,,,,Derived/Injected,,,,,"Human-readable name. S03: self set via BLE, persisted NVS; remote usually empty. Sxx: remote from over-air; authority rule: node-reported replaces local. UI: node_name -> local phone name -> short_id.",Planned,Config
